n,k,c,p,D,w,nE,max_bad,bound_2D-1_over_c,"bound_C(n,w)",ratio_to_bound,time_s
12,6,1,13,6,5,792,13,11,792,1.182,0.0
12,6,1,109,6,5,792,109,11,792,9.909,0.0
12,6,1,541,6,5,792,438,11,792,39.818,0.0
12,6,2,13,6,4,495,13,5,495,2.600,0.0
12,6,2,109,6,4,495,11,5,495,2.200,0.0
12,6,2,541,6,4,495,5,5,495,1.000,0.0
12,6,3,13,6,3,220,4,3,220,1.333,0.0
12,6,3,109,6,3,220,1,3,220,0.333,0.0
12,6,3,541,6,3,220,0,3,220,0.000,0.0
12,6,4,13,6,2,66,1,2,66,0.500,0.0
12,6,4,109,6,2,66,0,2,66,0.000,0.0
12,6,4,541,6,2,66,0,2,66,0.000,0.0
16,8,1,17,8,7,11440,17,15,11440,1.133,0.1
16,8,1,113,8,7,11440,113,15,11440,7.533,0.1
16,8,1,577,8,7,11440,577,15,11440,38.467,0.1
16,8,2,17,8,6,8008,17,7,8008,2.429,0.1
16,8,2,113,8,6,8008,64,7,8008,9.143,0.1
